,id,age,job,marital,education,credit_default,housing,loan
0,0,56,housemaid,married,basic_4y,no,no,no
1,1,57,services,married,high_school,unknown,no,no
2,2,37,services,married,high_school,no,yes,no
3,3,40,admin,married,basic_6y,no,no,no
4,4,56,services,married,high_school,no,no,yes
5,5,45,services,married,basic_9y,unknown,no,no
6,6,59,admin,married,professional_course,no,no,no
7,7,41,blue-collar,married,,unknown,no,no
8,8,24,technician,single,professional_course,no,yes,no
9,9,25,services,single,high_school,no,yes,no
10,10,41,blue-collar,married,,unknown,no,no
11,11,25,services,single,high_school,no,yes,no
12,12,29,blue-collar,single,high_school,no,no,yes
13,13,57,housemaid,divorced,basic_4y,no,yes,no
14,14,35,blue-collar,married,basic_6y,no,yes,no
15,15,54,retired,married,basic_9y,unknown,yes,yes
16,16,35,blue-collar,married,basic_6y,no,yes,no
17,17,46,blue-collar,married,basic_6y,unknown,yes,yes
18,18,50,blue-collar,married,basic_9y,no,yes,yes
19,19,39,management,single,basic_9y,unknown,no,no
20,20,30,unemployed,married,high_school,no,no,no
21,21,55,blue-collar,married,basic_4y,unknown,yes,no
22,22,55,retired,single,high_school,no,yes,no
23,23,41,technician,single,high_school,no,yes,no
24,24,37,admin,married,high_school,no,yes,no
25,25,35,technician,married,university_degree,no,no,yes
26,26,59,technician,married,,no,yes,no
27,27,39,self-employed,married,basic_9y,unknown,no,no
28,28,54,technician,single,university_degree,unknown,no,no
29,29,55,unknown,married,university_degree,unknown,unknown,unknown
30,30,46,admin,married,,no,no,no
31,31,59,technician,married,,no,yes,no
32,32,49,blue-collar,married,,no,no,no
33,33,54,management,married,basic_4y,unknown,yes,no
34,34,54,blue-collar,divorced,basic_4y,no,no,no
35,35,55,unknown,married,basic_4y,unknown,yes,no
36,36,34,services,married,high_school,no,no,no
37,37,52,technician,married,basic_9y,no,yes,no
38,38,41,admin,married,university_degree,no,yes,no
39,39,56,technician,married,basic_4y,no,yes,no
40,40,58,management,unknown,university_degree,no,yes,no
41,41,32,entrepreneur,married,high_school,no,yes,no
42,42,38,admin,single,professional_course,no,no,no
43,43,57,admin,married,university_degree,no,no,yes
44,44,44,admin,married,university_degree,unknown,yes,no
45,45,42,technician,single,professional_course,unknown,no,no
46,46,57,admin,married,university_degree,no,yes,yes
47,47,40,blue-collar,married,basic_9y,no,no,yes
48,48,35,admin,married,university_degree,no,yes,no
49,49,45,blue-collar,married,basic_9y,no,yes,no
50,50,54,admin,married,high_school,no,no,no
51,51,39,housemaid,married,basic_4y,no,no,yes
52,52,60,admin,married,high_school,no,no,no
53,53,53,admin,single,professional_course,no,no,no
54,54,55,blue-collar,married,basic_4y,unknown,no,no
55,55,55,technician,married,professional_course,unknown,yes,no
56,56,50,management,married,university_degree,unknown,no,yes
57,57,45,services,married,high_school,unknown,yes,no
58,58,55,unemployed,married,professional_course,unknown,yes,yes
59,59,25,technician,single,university_degree,no,yes,no
60,60,47,entrepreneur,married,university_degree,unknown,no,no
61,61,51,blue-collar,married,basic_9y,no,yes,no
62,62,42,blue-collar,married,basic_6y,unknown,yes,no
63,63,42,blue-collar,married,basic_6y,unknown,no,no
64,64,48,admin,married,high_school,no,no,no
65,65,37,admin,married,university_degree,no,no,no
66,66,44,blue-collar,single,basic_9y,no,yes,no
67,67,33,admin,married,,no,yes,no
68,68,56,admin,married,basic_9y,no,yes,no
69,69,44,blue-collar,single,basic_4y,unknown,yes,yes
70,70,41,management,married,basic_6y,no,no,no
71,71,44,management,divorced,university_degree,no,yes,no
72,72,47,admin,married,university_degree,unknown,yes,no
73,73,57,unknown,married,,unknown,no,no
74,74,37,admin,married,university_degree,unknown,yes,no
75,75,41,blue-collar,divorced,basic_4y,unknown,yes,no
76,76,55,technician,married,university_degree,no,no,no
77,77,33,services,married,high_school,unknown,yes,no
78,78,55,management,married,,unknown,yes,no
79,79,42,blue-collar,married,basic_9y,unknown,no,no
80,80,50,blue-collar,married,basic_4y,unknown,yes,no
81,81,51,blue-collar,married,basic_4y,unknown,unknown,unknown
82,82,38,admin,married,high_school,unknown,no,no
83,83,49,entrepreneur,married,university_degree,unknown,yes,no
84,84,38,technician,single,university_degree,no,no,yes
85,85,31,admin,divorced,high_school,no,no,no
86,86,41,management,married,basic_6y,no,no,no
87,87,39,admin,married,university_degree,no,yes,yes
88,88,49,technician,married,basic_9y,no,no,no
89,89,34,admin,married,high_school,no,yes,no
90,90,35,admin,married,university_degree,no,yes,no
91,91,57,unknown,married,,unknown,yes,no
92,92,60,admin,married,,unknown,no,yes
93,93,33,unemployed,married,basic_9y,no,no,no
94,94,42,blue-collar,married,basic_6y,no,no,yes
95,95,45,services,married,professional_course,no,yes,no
96,96,42,management,married,university_degree,no,no,no
97,97,53,admin,divorced,university_degree,unknown,no,no
98,98,37,technician,single,professional_course,no,no,no
99,99,44,blue-collar,married,basic_6y,no,no,no
100,100,54,services,married,,no,yes,no
101,101,49,blue-collar,married,basic_4y,no,no,no
102,102,54,services,married,,no,no,no
103,103,52,admin,divorced,university_degree,no,no,no
104,104,52,admin,divorced,university_degree,no,no,no
105,105,43,services,single,high_school,unknown,no,no
106,106,34,housemaid,married,basic_6y,no,yes,no
107,107,35,admin,married,high_school,no,yes,no
108,108,42,entrepreneur,married,,unknown,yes,no
109,109,43,technician,married,,unknown,yes,yes
110,110,60,retired,divorced,university_degree,unknown,no,no
111,111,58,unemployed,married,basic_4y,unknown,no,no
112,112,35,services,divorced,high_school,no,yes,no
113,113,55,blue-collar,married,basic_9y,unknown,yes,no
114,114,37,management,married,university_degree,no,no,no
115,115,36,blue-collar,married,high_school,no,no,no
116,116,52,admin,divorced,university_degree,no,no,no
117,117,57,blue-collar,divorced,,unknown,yes,no
118,118,56,admin,married,,no,yes,no
119,119,48,blue-collar,divorced,basic_4y,unknown,yes,no
120,120,40,blue-collar,married,high_school,unknown,yes,no
121,121,49,blue-collar,divorced,high_school,no,no,no
122,122,41,services,married,high_school,no,no,no
123,123,45,technician,married,high_school,no,yes,no
124,124,32,admin,married,university_degree,no,yes,yes
125,125,42,admin,married,university_degree,no,no,yes
126,126,50,admin,married,basic_6y,no,no,no
127,127,31,technician,divorced,professional_course,no,yes,yes
128,128,56,retired,married,basic_4y,no,yes,no
129,129,41,technician,married,professional_course,unknown,yes,no
130,130,37,blue-collar,married,basic_6y,no,yes,yes
131,131,41,technician,married,professional_course,unknown,no,no
132,132,35,blue-collar,married,,no,yes,no
133,133,37,blue-collar,married,basic_6y,no,yes,no
134,134,52,management,married,university_degree,no,no,no
135,135,39,management,divorced,university_degree,no,no,no
136,136,39,housemaid,married,basic_4y,unknown,no,no
137,137,56,blue-collar,married,basic_4y,unknown,no,no
138,138,34,services,married,high_school,no,yes,no
139,139,45,blue-collar,married,basic_9y,unknown,yes,no
140,140,43,unemployed,single,university_degree,no,yes,no
141,141,56,management,married,,no,yes,no
142,142,39,management,married,university_degree,no,yes,no
143,143,53,blue-collar,married,basic_4y,no,yes,no
144,144,38,unknown,divorced,high_school,unknown,yes,no
145,145,42,blue-collar,married,basic_4y,unknown,yes,no
146,146,42,blue-collar,married,basic_4y,unknown,no,no
147,147,35,admin,single,high_school,no,yes,no
148,148,40,admin,married,university_degree,unknown,yes,no
149,149,51,blue-collar,married,basic_4y,no,yes,no
150,150,60,blue-collar,married,basic_9y,unknown,no,no
151,151,56,entrepreneur,married,,unknown,yes,no
152,152,39,services,divorced,high_school,unknown,yes,no
153,153,56,entrepreneur,married,,unknown,no,no
154,154,40,blue-collar,married,,no,yes,yes
155,155,36,blue-collar,married,basic_9y,no,yes,yes
156,156,51,blue-collar,married,,unknown,yes,no
157,157,51,blue-collar,married,,unknown,no,no
